11.02.2026         Salida dinámica de lista                                                              1


		Objeto	Denominación del objeto	Creado	Registrado	  Valor/Mon.tr.	MonT

	*	Ejercicio 2013				     99.609,38	USD

		LCP-130078-07	SUPPLIES	AA11549	13.01.2014	      2.111,62	USD

	*	Ejercicio 2014				      2.111,62	USD

		LCP-130078-08	INSTALLATION	NSA1896	24.04.2013	    250.000,00	USD
		LCP-130078-08	INSTALLATION	AA11549	25.10.2013	-17.625,00	USD
		LCP-130078-08	INSTALLATION	AA11549	07.11.2013	-9.596,85	USD
		LCP-130078-08	INSTALLATION	AA11549	11.11.2013	     11.000,00	USD
		LCP-130078-08	INSTALLATION	AA11549	22.11.2013	-709,00	USD
		LCP-130078-08	INSTALLATION	AA11549	22.11.2013	     74.482,00	USD
		LCP-130078-08	INSTALLATION	AA11549	13.01.2014	-19.267,93	USD

	*	Ejercicio 2013				    288.283,22	USD

		LCP-130078-08	INSTALLATION	AA11549	13.01.2014	     19.267,93	USD

	*	Ejercicio 2014				     19.267,93	USD

		LCP-130078-09	CONTINGENCIA	NSA1896	24.04.2013	     30.000,00	USD
		LCP-130078-09	CONTINGENCIA	AA11549	12.08.2013	-10.000,00	USD
		LCP-130078-09	CONTINGENCIA	AA11549	21.08.2013	-20.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130078-EX	GASTOS ASOCIADOS	NSA1896	24.04.2013	     16.200,00	USD
		LCP-130078-EX	GASTOS ASOCIADOS	AA11549	13.01.2014	-9.008,34	USD

	*	Ejercicio 2013				      7.191,66	USD

		LCP-130078-EX	GASTOS ASOCIADOS	AA11549	13.01.2014	      9.008,34	USD

	*	Ejercicio 2014				      9.008,34	USD

		LCP-130078-EX-01	GASTOS ASOCIADOS	NSA1896	24.04.2013	     16.200,00	USD
		LCP-130078-EX-01	GASTOS ASOCIADOS	AA11549	13.01.2014	-9.008,34	USD

	*	Ejercicio 2013				      7.191,66	USD

		LCP-130078-EX-01	GASTOS ASOCIADOS	AA11549	13.01.2014	      9.008,34	USD

	*	Ejercicio 2014				      9.008,34	USD

		LCP-130079	TCH SLAB CUTTER MIXER 4	AA11549	13.01.2014	-94.959,00	USD
		LCP-130079	TCH SLAB CUTTER MIXER 4	AA11549	13.01.2014	-21.480,13	USD
		LCP-130079	TCH SLAB CUTTER MIXER 4	AA11549	13.01.2014	-18.504,00	USD
		LCP-130079	TCH SLAB CUTTER MIXER 4	NSA1896	24.04.2013	    140.000,00	USD

	*	Ejercicio 2013				      5.056,87	USD

		LCP-130079	TCH SLAB CUTTER MIXER 4	AA11549	13.01.2014	     94.959,00	USD
		LCP-130079	TCH SLAB CUTTER MIXER 4	AA11549	13.01.2014	     21.480,13	USD
		LCP-130079	TCH SLAB CUTTER MIXER 4	AA11549	13.01.2014	     18.504,00	USD

	*	Ejercicio 2014				    134.943,13	USD

		LCP-130079-04	SLAB CUTTER + ACCESORIES	NSA1896	24.04.2013	     90.959,00	USD
		LCP-130079-04	SLAB CUTTER + ACCESORIES	AA04641	16.05.2013	      4.000,00	USD
		LCP-130079-04	SLAB CUTTER + ACCESORIES	AA11549	13.01.2014	-94.959,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130079-04	SLAB CUTTER + ACCESORIES	AA11549	13.01.2014	     94.959,00	USD

	*	Ejercicio 2014				     94.959,00	USD

		LCP-130079-05	SLAB CUTTER INST/ELECT/MACHANI	NSA1896	24.04.2013	     26.537,00	USD
		LCP-130079-05	SLAB CUTTER INST/ELECT/MACHANI	AA11549	13.01.2014	-21.480,13	USD

	*	Ejercicio 2013				      5.056,87	USD

		LCP-130079-05	SLAB CUTTER INST/ELECT/MACHANI	AA11549	13.01.2014	     21.480,13	USD

	*	Ejercicio 2014				     21.480,13	USD

		LCP-130079-07	CONTINGENCIA	NSA1896	24.04.2013	     22.504,00	USD
		LCP-130079-07	CONTINGENCIA	AA04641	16.05.2013	-4.000,00	USD
		LCP-130079-07	CONTINGENCIA	AA11549	13.01.2014	-18.504,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130079-07	CONTINGENCIA	AA11549	13.01.2014	     18.504,00	USD

	*	Ejercicio 2014				     18.504,00	USD

		LCP-130079-EX	EXPENSES	NSA1896	24.04.2013	     20.350,00	USD
		LCP-130079-EX	EXPENSES	AA11549	13.01.2014	-20.350,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130079-EX	EXPENSES	AA11549	13.01.2014	     20.350,00	USD

	*	Ejercicio 2014				     20.350,00	USD

		LCP-130079-EX-01	SLAB CUTTER GTOS. ASOCIADOS	NSA1896	24.04.2013	     20.350,00	USD
		LCP-130079-EX-01	SLAB CUTTER GTOS. ASOCIADOS	AA11549	13.01.2014	-20.350,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130079-EX-01	SLAB CUTTER GTOS. ASOCIADOS	AA11549	13.01.2014	     20.350,00	USD

	*	Ejercicio 2014				     20.350,00	USD

		LCP-130080	CHILE-CCTV FACILITY SOUTH SIDE AAND SUBS	NSA1896	24.04.2013	    120.000,00	USD

	*	Ejercicio 2013				    120.000,00	USD

		LCP-130080-01		NSA1896	24.04.2013	     55.856,00	USD
		LCP-130080-01		AA04641	13.05.2013	      6.144,00	USD
		LCP-130080-01		AA11549	08.10.2013	      2.000,00	USD
		LCP-130080-01		AA11549	14.10.2013	      1.000,00	USD
		LCP-130080-01		AA11549	14.10.2013	      1.224,00	USD

	*	Ejercicio 2013				     66.224,00	USD

		LCP-130080-02	FIBER OPTIC	NSA1896	24.04.2013	     22.185,00	USD
		LCP-130080-02	FIBER OPTIC	AA04641	13.05.2013	-685,00	USD
		LCP-130080-02	FIBER OPTIC	AA11549	14.10.2013	-500,00	USD
		LCP-130080-02	FIBER OPTIC	AA11549	14.10.2013	-714,00	USD

	*	Ejercicio 2013				     20.286,00	USD

		LCP-130080-03	INTALLATION	NSA1896	24.04.2013	     31.049,00	USD
		LCP-130080-03	INTALLATION	AA04641	13.05.2013	      3.451,00	USD
		LCP-130080-03	INTALLATION	AA11549	14.10.2013	-500,00	USD
		LCP-130080-03	INTALLATION	AA11549	14.10.2013	-510,00	USD

	*	Ejercicio 2013				     33.490,00	USD

		LCP-130080-04	CONTINGENCIAS	NSA1896	24.04.2013	     10.910,00	USD
		LCP-130080-04	CONTINGENCIAS	AA04641	13.05.2013	-8.910,00	USD
		LCP-130080-04	CONTINGENCIAS	AA11549	08.10.2013	-2.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130080-EX	GASTOS ASOCIADOS	NSA1896	24.04.2013	     12.000,00	USD

	*	Ejercicio 2013				     12.000,00	USD

		LCP-130080-EX-01	GASTOS ASOCIADOS	NSA1896	24.04.2013	     12.000,00	USD

	*	Ejercicio 2013				     12.000,00	USD

		LCP-130086	CAP - Compressor Powerhouse	AA11549	13.01.2014	-7.565,04	USD
		LCP-130086	CAP - Compressor Powerhouse	AA04148	16.05.2013	    235.000,00	USD

	*	Ejercicio 2013				    227.434,96	USD

		LCP-130086	CAP - Compressor Powerhouse	AA11549	13.01.2014	      7.565,04	USD

	*	Ejercicio 2014				      7.565,04	USD

		LCP-130086-01	Supply of 1 compressors	AA11549	03.09.2013	    235.000,00	USD
		LCP-130086-01	Supply of 1 compressors	AA11549	13.01.2014	-7.565,04	USD

	*	Ejercicio 2013				    227.434,96	USD

		LCP-130086-01	Supply of 1 compressors	AA11549	13.01.2014	      7.565,04	USD

	*	Ejercicio 2014				      7.565,04	USD

		LCP-130086-EX	EXP - Machine Relocation	AA11549	02.09.2013	     30.000,00	USD
		LCP-130086-EX	EXP - Machine Relocation	AA11549	13.01.2014	-1.210,29	USD

	*	Ejercicio 2013				     28.789,71	USD

		LCP-130086-EX	EXP - Machine Relocation	AA11549	13.01.2014	      1.210,29	USD

	*	Ejercicio 2014				      1.210,29	USD

		LCP-130086-EX-01	Machine Relocation	AA11549	02.09.2013	     30.000,00	USD
		LCP-130086-EX-01	Machine Relocation	AA11549	13.01.2014	-1.210,29	USD

	*	Ejercicio 2013				     28.789,71	USD

		LCP-130086-EX-01	Machine Relocation	AA11549	13.01.2014	      1.210,29	USD

	*	Ejercicio 2014				      1.210,29	USD

		LCP-130087	CAP - Upgrade drives GV3000 in CFE 1	AA11549	13.01.2014	-20.493,08	USD
		LCP-130087	CAP - Upgrade drives GV3000 in CFE 1	AA11549	13.01.2014	-2.460,93	USD
		LCP-130087	CAP - Upgrade drives GV3000 in CFE 1	AA11549	13.01.2014	-1.311,78	USD
		LCP-130087	CAP - Upgrade drives GV3000 in CFE 1	AA11549	13.01.2014	-7.000,00	USD
		LCP-130087	CAP - Upgrade drives GV3000 in CFE 1	AA04148	25.06.2013	    170.000,00	USD

	*	Ejercicio 2013				    138.734,21	USD

		LCP-130087	CAP - Upgrade drives GV3000 in CFE 1	AA11549	13.01.2014	     20.493,08	USD
		LCP-130087	CAP - Upgrade drives GV3000 in CFE 1	AA11549	13.01.2014	      2.460,93	USD
		LCP-130087	CAP - Upgrade drives GV3000 in CFE 1	AA11549	13.01.2014	      1.311,78	USD
		LCP-130087	CAP - Upgrade drives GV3000 in CFE 1	AA11549	13.01.2014	      7.000,00	USD

	*	Ejercicio 2014				     31.265,79	USD

		LCP-130087-01	Rockwell Equipment & Integration	AA04641	25.06.2013	     98.000,00	USD
		LCP-130087-01	Rockwell Equipment & Integration	AA11549	13.01.2014	-20.493,08	USD
		LCP-130087-01	Rockwell Equipment & Integration	AA04641	05.09.2014	      9.705,00	USD
		LCP-130087-01	Rockwell Equipment & Integration	AA04641	25.09.2014	-5.716,00	USD

	*	Ejercicio 2013				     81.495,92	USD

		LCP-130087-01	Rockwell Equipment & Integration	AA11549	13.01.2014	     20.493,08	USD

	*	Ejercicio 2014				     20.493,08	USD

		LCP-130087-02	Electrical Contrator	AA04641	25.06.2013	     30.000,00	USD
		LCP-130087-02	Electrical Contrator	AA11549	13.01.2014	-2.460,93	USD
		LCP-130087-02	Electrical Contrator	AA04641	05.09.2014	-2.460,00	USD
		LCP-130087-02	Electrical Contrator	AA04641	25.09.2014	      2.571,00	USD

	*	Ejercicio 2013				     27.650,07	USD

		LCP-130087-02	Electrical Contrator	AA11549	13.01.2014	      2.460,93	USD

	*	Ejercicio 2014				      2.460,93	USD

		LCP-130087-03	Engineering	AA04641	25.06.2013	     35.000,00	USD
		LCP-130087-03	Engineering	AA11549	13.01.2014	-1.311,78	USD
		LCP-130087-03	Engineering	AA04641	05.09.2014	-245,00	USD
		LCP-130087-03	Engineering	AA04641	25.09.2014	      3.145,00	USD

	*	Ejercicio 2013				     36.588,22	USD

		LCP-130087-03	Engineering	AA11549	13.01.2014	      1.311,78	USD

	*	Ejercicio 2014				      1.311,78	USD

		LCP-130087-04	Contingency	AA04641	25.06.2013	      7.000,00	USD
		LCP-130087-04	Contingency	AA11549	13.01.2014	-7.000,00	USD
		LCP-130087-04	Contingency	AA04641	05.09.2014	-7.000,00	USD

	*	Ejercicio 2013				-7.000,00	USD

		LCP-130087-04	Contingency	AA11549	13.01.2014	      7.000,00	USD

	*	Ejercicio 2014				      7.000,00	USD

		LCP-130087-EX	EXP - Gastos upgrade drive	AA04641	25.06.2013	     21.000,00	USD
		LCP-130087-EX	EXP - Gastos upgrade drive	AA11549	13.01.2014	-5.467,74	USD
		LCP-130087-EX	EXP - Gastos upgrade drive	AA11549	13.01.2014	-1.000,00	USD

	*	Ejercicio 2013				     14.532,26	USD

		LCP-130087-EX	EXP - Gastos upgrade drive	AA11549	13.01.2014	      5.467,74	USD
		LCP-130087-EX	EXP - Gastos upgrade drive	AA11549	13.01.2014	      1.000,00	USD

	*	Ejercicio 2014				      6.467,74	USD

		LCP-130087-EX-01	CONTINGENCY	AA04641	25.06.2013	     20.000,00	USD
		LCP-130087-EX-01	CONTINGENCY	AA11549	13.01.2014	-5.467,74	USD
		LCP-130087-EX-01	CONTINGENCY	AA04641	21.05.2014	-5.467,00	USD

	*	Ejercicio 2013				      9.065,26	USD

		LCP-130087-EX-01	CONTINGENCY	AA11549	13.01.2014	      5.467,74	USD

	*	Ejercicio 2014				      5.467,74	USD

		LCP-130087-EX-02	Relocation	AA04641	25.06.2013	      1.000,00	USD
		LCP-130087-EX-02	Relocation	AA11549	13.01.2014	-1.000,00	USD
		LCP-130087-EX-02	Relocation	AA04641	21.05.2014	      5.467,00	USD

	*	Ejercicio 2013				      5.467,00	USD

		LCP-130087-EX-02	Relocation	AA11549	13.01.2014	      1.000,00	USD

	*	Ejercicio 2014				      1.000,00	USD

		LCP-130088	CAP-Material Handling Host to Comp Prep	AA04148	11.06.2013	    350.000,00	USD

	*	Ejercicio 2013				    350.000,00	USD

		LCP-130090	CAP Mixer Elevator #2 - Mec/Elec Upgrade	AA11549	13.01.2014	-6.412,73	USD
		LCP-130090	CAP Mixer Elevator #2 - Mec/Elec Upgrade	AA11549	13.01.2014	-39.064,78	USD
		LCP-130090	CAP Mixer Elevator #2 - Mec/Elec Upgrade	AA11549	13.01.2014	-5.000,00	USD
		LCP-130090	CAP Mixer Elevator #2 - Mec/Elec Upgrade	AA04148	11.06.2013	    100.000,00	USD

	*	Ejercicio 2013				     49.522,49	USD

		LCP-130090	CAP Mixer Elevator #2 - Mec/Elec Upgrade	AA11549	13.01.2014	      6.412,73	USD
		LCP-130090	CAP Mixer Elevator #2 - Mec/Elec Upgrade	AA11549	13.01.2014	     39.064,78	USD
		LCP-130090	CAP Mixer Elevator #2 - Mec/Elec Upgrade	AA11549	13.01.2014	      5.000,00	USD

	*	Ejercicio 2014				     50.477,51	USD

		LCP-130090-01	Electronic Upgrade	AA04641	11.06.2013	     25.000,00	USD
		LCP-130090-01	Electronic Upgrade	AA11549	13.01.2014	-6.412,73	USD

	*	Ejercicio 2013				     18.587,27	USD

		LCP-130090-01	Electronic Upgrade	AA11549	13.01.2014	      6.412,73	USD

	*	Ejercicio 2014				      6.412,73	USD

		LCP-130090-02	Mechanical Upgrade	AA04641	11.06.2013	     70.000,00	USD
		LCP-130090-02	Mechanical Upgrade	AA11549	13.01.2014	-39.064,78	USD

	*	Ejercicio 2013				     30.935,22	USD

		LCP-130090-02	Mechanical Upgrade	AA11549	13.01.2014	     39.064,78	USD

	*	Ejercicio 2014				     39.064,78	USD

		LCP-130090-03	CONTINGENCY	AA04641	11.06.2013	      5.000,00	USD
		LCP-130090-03	CONTINGENCY	AA11549	13.01.2014	-5.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130090-03	CONTINGENCY	AA11549	13.01.2014	      5.000,00	USD

	*	Ejercicio 2014				      5.000,00	USD

		LCP-130090-EX	EXP - START-UP & COMMISSIONING	AA04641	11.06.2013	     20.000,00	USD
		LCP-130090-EX	EXP - START-UP & COMMISSIONING	AA11549	13.01.2014	-1.000,00	USD
		LCP-130090-EX	EXP - START-UP & COMMISSIONING	AA11549	13.01.2014	-9.000,00	USD
		LCP-130090-EX	EXP - START-UP & COMMISSIONING	AA11549	13.01.2014	-10.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130090-EX	EXP - START-UP & COMMISSIONING	AA11549	13.01.2014	      1.000,00	USD
		LCP-130090-EX	EXP - START-UP & COMMISSIONING	AA11549	13.01.2014	      9.000,00	USD
		LCP-130090-EX	EXP - START-UP & COMMISSIONING	AA11549	13.01.2014	     10.000,00	USD

	*	Ejercicio 2014				     20.000,00	USD

		LCP-130090-EX-01	CONTINGENCY	AA04641	11.06.2013	      1.000,00	USD
		LCP-130090-EX-01	CONTINGENCY	AA11549	13.01.2014	-1.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130090-EX-01	CONTINGENCY	AA11549	13.01.2014	      1.000,00	USD

	*	Ejercicio 2014				      1.000,00	USD

		LCP-130090-EX-02	EXPENSES	AA04641	11.06.2013	      9.000,00	USD
		LCP-130090-EX-02	EXPENSES	AA11549	13.01.2014	-9.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130090-EX-02	EXPENSES	AA11549	13.01.2014	      9.000,00	USD

	*	Ejercicio 2014				      9.000,00	USD

		LCP-130090-EX-03	START-UP & COMMISSIONING	AA04641	11.06.2013	     10.000,00	USD
		LCP-130090-EX-03	START-UP & COMMISSIONING	AA11549	13.01.2014	-10.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130090-EX-03	START-UP & COMMISSIONING	AA11549	13.01.2014	     10.000,00	USD

	*	Ejercicio 2014				     10.000,00	USD

		LCP-130094	CAP - Closed Circuit Mixer Factory Water	AA11549	02.01.2014	-35,00	USD
		LCP-130094	CAP - Closed Circuit Mixer Factory Water	AA11549	02.01.2014	-1.297.949,76	USD
		LCP-130094	CAP - Closed Circuit Mixer Factory Water	AA11549	02.01.2014	-38.572,03	USD
		LCP-130094	CAP - Closed Circuit Mixer Factory Water	AA11549	02.01.2014	-269.630,00	USD
		LCP-130094	CAP - Closed Circuit Mixer Factory Water	AA11549	02.01.2014	-121.691,00	USD
		LCP-130094	CAP - Closed Circuit Mixer Factory Water	AA04148	25.06.2013	  1.838.000,00	USD

	*	Ejercicio 2013				    110.122,21	USD

		LCP-130094	CAP - Closed Circuit Mixer Factory Water	AA11549	02.01.2014	         35,00	USD
		LCP-130094	CAP - Closed Circuit Mixer Factory Water	AA11549	02.01.2014	  1.297.949,76	USD
		LCP-130094	CAP - Closed Circuit Mixer Factory Water	AA11549	02.01.2014	     38.572,03	USD
		LCP-130094	CAP - Closed Circuit Mixer Factory Water	AA11549	02.01.2014	    269.630,00	USD
		LCP-130094	CAP - Closed Circuit Mixer Factory Water	AA11549	02.01.2014	    121.691,00	USD

	*	Ejercicio 2014				  1.727.877,79	USD

		LCP-130094-01	Cooling Tower Support Structure	AA04641	25.06.2013	     45.000,00	USD
		LCP-130094-01	Cooling Tower Support Structure	AA11549	25.09.2013	-45.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130094-02	Cooling Water Fan	AA04641	25.06.2013	      7.000,00	USD
		LCP-130094-02	Cooling Water Fan	AA11549	25.09.2013	-7.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130094-03	Cooling Water Pumps	AA04641	25.06.2013	     11.000,00	USD
		LCP-130094-03	Cooling Water Pumps	AA11549	25.09.2013	-11.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130094-04	Water Softener	AA04641	25.06.2013	     19.000,00	USD
		LCP-130094-04	Water Softener	AA11549	25.09.2013	-19.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130094-05	Instrumentation and Control	AA04641	25.06.2013	      7.000,00	USD
		LCP-130094-05	Instrumentation and Control	AA11549	25.09.2013	-7.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130094-06	Cooling Water Tower	AA04641	25.06.2013	    110.000,00	USD
		LCP-130094-06	Cooling Water Tower	AA11549	25.09.2013	-110.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130094-07	Factory Water Piping	AA04641	25.06.2013	    255.000,00	USD
		LCP-130094-07	Factory Water Piping	AA11549	25.09.2013	-255.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130094-08	Factory Water Piping Support	AA04641	25.06.2013	     34.000,00	USD
		LCP-130094-08	Factory Water Piping Support	AA11549	25.09.2013	-34.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130094-09	Installation	AA04641	25.06.2013	    927.000,00	USD
		LCP-130094-09	Installation	AA11549	25.09.2013	-927.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130094-10	Engineering	AA04641	25.06.2013	    269.000,00	USD
		LCP-130094-10	Engineering	AA11549	25.09.2013	-269.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130094-11	Freight	AA04641	25.06.2013	     18.000,00	USD
		LCP-130094-11	Freight	AA11549	25.09.2013	-18.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130094-12	General Trades	AA04641	25.06.2013	      6.000,00	USD
		LCP-130094-12	General Trades	AA11549	25.09.2013	-6.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130094-13	Contingencies	AA04641	25.06.2013	    130.000,00	USD
		LCP-130094-13	Contingencies	AA11549	25.09.2013	-130.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130094-14	14 - BUILDING UTILITIES	AA11549	27.09.2013	  1.398.644,00	USD
		LCP-130094-14	14 - BUILDING UTILITIES	AA11549	02.01.2014	-1.297.949,76	USD
		LCP-130094-14	14 - BUILDING UTILITIES	AA04641	02.04.2014	-100,00	USD

	*	Ejercicio 2013				    100.594,24	USD

		LCP-130094-14	14 - BUILDING UTILITIES	AA11549	02.01.2014	  1.297.949,76	USD

	*	Ejercicio 2014				  1.297.949,76	USD

		LCP-130094-15	97 - CONST. CONTRACTS & MATERIALS	AA11549	27.09.2013	     33.753,00	USD
		LCP-130094-15	97 - CONST. CONTRACTS & MATERIALS	AA11549	27.09.2013	     14.247,00	USD
		LCP-130094-15	97 - CONST. CONTRACTS & MATERIALS	AA11549	02.01.2014	-38.572,03	USD
		LCP-130094-15	97 - CONST. CONTRACTS & MATERIALS	AA04641	02.04.2014	        100,00	USD

	*	Ejercicio 2013				      9.527,97	USD

		LCP-130094-15	97 - CONST. CONTRACTS & MATERIALS	AA11549	02.01.2014	     38.572,03	USD

	*	Ejercicio 2014				     38.572,03	USD

		LCP-130094-16	99 - ENGINEERING SERVICES	AA11549	27.09.2013	    269.630,00	USD
		LCP-130094-16	99 - ENGINEERING SERVICES	AA11549	02.01.2014	-269.630,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130094-16	99 - ENGINEERING SERVICES	AA11549	02.01.2014	    269.630,00	USD

	*	Ejercicio 2014				    269.630,00	USD

		LCP-130094-17	01 - PROJECT CONTINGENCIES	AA11549	27.09.2013	    135.938,00	USD
		LCP-130094-17	01 - PROJECT CONTINGENCIES	AA11549	27.09.2013	-14.247,00	USD
		LCP-130094-17	01 - PROJECT CONTINGENCIES	AA11549	02.01.2014	-121.691,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130094-17	01 - PROJECT CONTINGENCIES	AA11549	02.01.2014	    121.691,00	USD

	*	Ejercicio 2014				    121.691,00	USD

		LCP-130094-EX	EXP - Expenses	AA04641	25.06.2013	     65.000,00	USD
		LCP-130094-EX	EXP - Expenses	AA11549	25.09.2013	-65.000,00	USD
		LCP-130094-EX	EXP - Expenses	AA11549	27.09.2013	     65.000,00	USD
		LCP-130094-EX	EXP - Expenses	AA11549	02.01.2014	-208,00	USD
		LCP-130094-EX	EXP - Expenses	AA11549	02.01.2014	-55.777,36	USD
		LCP-130094-EX	EXP - Expenses	AA11549	02.01.2014	-4.792,00	USD

	*	Ejercicio 2013				      4.222,64	USD

		LCP-130094-EX	EXP - Expenses	AA11549	02.01.2014	        208,00	USD
		LCP-130094-EX	EXP - Expenses	AA11549	02.01.2014	     55.777,36	USD
		LCP-130094-EX	EXP - Expenses	AA11549	02.01.2014	      4.792,00	USD

	*	Ejercicio 2014				     60.777,36	USD

		LCP-130094-EX-01	Expenses	AA04641	25.06.2013	     65.000,00	USD
		LCP-130094-EX-01	Expenses	AA11549	25.09.2013	-65.000,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130094-EX-02	97 - expCONST. CONTRACTS & MATERIALS	AA11549	27.09.2013	     60.000,00	USD
		LCP-130094-EX-02	97 - expCONST. CONTRACTS & MATERIALS	AA11549	02.01.2014	-55.777,36	USD

	*	Ejercicio 2013				      4.222,64	USD

		LCP-130094-EX-02	97 - expCONST. CONTRACTS & MATERIALS	AA11549	02.01.2014	     55.777,36	USD

	*	Ejercicio 2014				     55.777,36	USD

		LCP-130094-EX-03	01 - expPROJECT CONTINGENCIES	AA11549	27.09.2013	      4.792,00	USD
		LCP-130094-EX-03	01 - expPROJECT CONTINGENCIES	AA11549	02.01.2014	-4.792,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130094-EX-03	01 - expPROJECT CONTINGENCIES	AA11549	02.01.2014	      4.792,00	USD

	*	Ejercicio 2014				      4.792,00	USD

		LCP-130096	CAP-Second Creel Stand to Stelactic N° 6	AA04148	24.05.2013	    100.000,00	USD

	*	Ejercicio 2013				    100.000,00	USD

		LCP-130096-01	480 pin Creel Stand	AA04641	27.05.2013	     35.970,00	USD
		LCP-130096-01	480 pin Creel Stand	AA11549	25.07.2013	     27.289,00	USD
		LCP-130096-01	480 pin Creel Stand	AA11549	23.09.2013	     36.741,00	USD
		LCP-130096-01	480 pin Creel Stand	AA11549	12.12.2013	-6.914,73	USD
		LCP-130096-01	480 pin Creel Stand	AA11549	21.02.2014	        450,00	USD

	*	Ejercicio 2013				     93.535,27	USD

		LCP-130096-02	Foundation	AA04641	27.05.2013	     26.494,00	USD
		LCP-130096-02	Foundation	AA11549	23.09.2013	-26.494,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130096-03	Installation	AA04641	27.05.2013	     10.247,00	USD
		LCP-130096-03	Installation	AA11549	23.09.2013	-10.247,00	USD
		LCP-130096-03	Installation	AA11549	12.12.2013	      6.914,73	USD
		LCP-130096-03	Installation	AA11549	21.02.2014	-450,00	USD

	*	Ejercicio 2013				      6.464,73	USD

		LCP-130096-04	Contingencies	AA04641	27.05.2013	      7.271,00	USD
		LCP-130096-04	Contingencies	AA11549	25.07.2013	-7.271,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130096-05	START-UP & COMMISSIONING	AA04641	27.05.2013	     20.018,00	USD
		LCP-130096-05	START-UP & COMMISSIONING	AA11549	25.07.2013	-20.018,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130096-EX	EXP - Expenses	AA04641	27.05.2013	     46.665,00	USD

	*	Ejercicio 2013				     46.665,00	USD

		LCP-130096-EX-01	Relocation	AA04641	27.05.2013	     25.676,00	USD
		LCP-130096-EX-01	Relocation	AA11549	23.09.2013	     20.989,00	USD

	*	Ejercicio 2013				     46.665,00	USD

		LCP-130096-EX-02	Contingencies	AA04641	27.05.2013	     20.989,00	USD
		LCP-130096-EX-02	Contingencies	AA11549	23.09.2013	-20.989,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-130097	CAP - Quad1 Extruder 03 Gearbox Replac	AA04148	24.05.2013	    275.000,00	USD

	*	Ejercicio 2013				    275.000,00	USD

		LCP-130097-01	Gearbox	AA11549	26.07.2013	    220.000,00	USD

	*	Ejercicio 2013				    220.000,00	USD

		LCP-130097-02	Installation	AA11549	26.07.2013	     40.000,00	USD

	*	Ejercicio 2013				     40.000,00	USD

		LCP-130097-03	TDF	AA11549	26.07.2013	      5.000,00	USD

	*	Ejercicio 2013				      5.000,00	USD

		LCP-130097-04	Contingencies	AA11549	26.07.2013	     10.000,00	USD

	*	Ejercicio 2013				     10.000,00	USD

		LCP-130097-EX	EXP - Expenses	AA11549	26.07.2013	     32.570,00	USD

	*	Ejercicio 2013				     32.570,00	USD

		LCP-130097-EX-01	Installation	AA11549	26.07.2013	     18.700,00	USD

	*	Ejercicio 2013				     18.700,00	USD

		LCP-130097-EX-02	Contingencies	AA11549	26.07.2013	      1.870,00	USD

	*	Ejercicio 2013				      1.870,00	USD

		LCP-130097-EX-03	Engineering	AA11549	26.07.2013	     12.000,00	USD

